,Run ID,Person ID,Time of Infection (Mins),Datetime of Sim Start,Datetime of When Infected,Datetime if Sim End
7,1,7,1.0,03/06/2021 13:27:01,03/06/2021 13:28:01,03/06/2021 13:28:01
8,1,8,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
9,1,9,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
10,1,10,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
11,1,11,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
12,1,12,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
13,1,13,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
14,1,14,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
15,1,15,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
16,1,16,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
17,1,17,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
18,1,18,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
19,1,19,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
20,1,20,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
21,1,21,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
22,1,22,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
23,1,23,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
24,1,24,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
25,1,25,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
26,1,26,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
27,1,27,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
28,1,28,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
29,1,29,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
30,1,30,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
31,1,31,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
32,1,32,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
33,1,33,0.94,03/06/2021 13:27:01,03/06/2021 13:27:57,03/06/2021 13:28:01
34,1,34,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
35,1,35,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
36,1,36,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
37,1,37,0.94,03/06/2021 13:27:01,03/06/2021 13:27:57,03/06/2021 13:28:01
38,1,38,0.96,03/06/2021 13:27:01,03/06/2021 13:27:58,03/06/2021 13:28:01
39,1,39,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
40,1,40,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
41,1,41,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
42,1,42,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
43,1,43,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
44,1,44,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
45,1,45,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
46,1,46,0.98,03/06/2021 13:27:01,03/06/2021 13:27:59,03/06/2021 13:28:01
47,1,47,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
48,1,48,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
49,1,49,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
50,1,50,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
51,1,51,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
52,1,52,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
53,1,53,0.94,03/06/2021 13:27:01,03/06/2021 13:27:57,03/06/2021 13:28:01
54,1,54,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
55,1,55,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
56,1,56,1.0,03/06/2021 13:27:01,03/06/2021 13:28:01,03/06/2021 13:28:01
57,1,57,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
58,1,58,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
59,1,59,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
60,1,60,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
61,1,61,1.0,03/06/2021 13:27:01,03/06/2021 13:28:01,03/06/2021 13:28:01
62,1,62,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
63,1,63,0.08,03/06/2021 13:27:01,03/06/2021 13:27:05,03/06/2021 13:28:01
64,1,64,0.93,03/06/2021 13:27:01,03/06/2021 13:27:56,03/06/2021 13:28:01
65,1,65,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
66,1,66,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
67,1,67,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
68,1,68,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
69,1,69,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
70,1,70,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
71,1,71,N/A,03/06/2021 13:27:01,N/A,03/06/2021 13:28:01
